text,label
the maximum amount of information downloaded from the companys server to the counter manifest station will be 15 kilobytes or less per package processed.,2.0
"women.com acknowledges that ediets owns all right, title and interest in and to the ediets content, and women.com shall not now or in the future contest the validity of the ediets ownership rights in and to the ediets content.",2.0
each party may also terminate the agreement for convenience after contract year 2,2.0
persons and entities listed on schedule a,0.0
ibm agrees to insure tooling it owns.,1.0
lucid agrees that the distributor may use the appropriate trademarks to promote the sale of products in the territory. such use is only with lucids permission and must be related to the sale of lucid products.,0.0
"contract period means that period of time commencing upon the full execution of this agreement by both parties and terminating on may 31, 2016 unless sooner terminated under this agreement.",0.0
"subject to the terms and conditions of this agreement, commerce one hereby grants to corio a fee-bearing, perpetual and irrevocable, nonexclusive, nontransferable (except in accordance with section 14.1 of this agreement), right and license in the territory to (i) reproduce the software in machine executable object code format only for installation on the corio servers; (ii) install multiple copies of the software on corios servers which will be made remotely accessible to corios customers for their subsequent use, (iii) permit limited access to and use of the software and marketsite.net service by customers through corio servers; (iv) sublicense an unlimited number of customers to access and use the software and marketsite.net service only through the installation on corio servers; and (v) use commerce ones tools and utilities, subject to any restrictions placed on the commerce one by third party software providers, to modify and manage the software.",1.0
the ownership of one percent (1%) or less of a publicly traded company will not be deemed to be prohibited by this paragraph,2.0
"agreement; provided, however that such audits may not be performed by theravance more than once per calendar year.",1.0
american general life insurance company,0.0
"dgts total liability, whether under the express or implied terms of this agreement, in tort (including negligence), or at common law, for any loss or damage suffered by dolphin, whether direct, indirect or special, or any other similar or like damage that may arise or does arise from any breaches of this agreement by dgt and its directors, officers or agents, shall be limited to the amount of the cost of the products.",2.0
"in addition, during the valid period of this agreement, emv guarantee the annual purchase volume will be not less than the purchase volume of the previous year.",1.0
"this agreement will be governed by, construed and enforced in accordance with the laws of the state of texas.",0.0
under no circumstances ingram netgear distributor agreement 9 083096 is netgear liable for any third-party claims except for those described in this section and in the section entitled claims of infringement.,2.0
"spinco, for itself and as representative of all other members of the spinco group, hereby grants to remainco (x) a perpetual, irrevocable, exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in section 5.6) to use the spinco know- how currently or previously used in connection with the remainco business or otherwise in the possession of remainco or any member of the remainco group as of distribution date (the licensed spinco know-how), for the continued operation of the remainco business and any future extensions of the remainco business in the remainco core field and (y) a perpetual, irrevocable, non-exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in section 5.6) to use the licensed spinco know-how for the continued operation of the remainco business and any future extensions of the remainco business in any field other than the remainco core field or the spinco core field; provided, however, the foregoing licenses shall not extend to (i) spinco know-how",1.0
"the construction and validity of this agreement and the provisions hereof, and the rights and obligations of the parties hereunder, will be governed by the internal laws of the state of delaware, usa, and, to the extent applicable to patents and trademarks, the applicable federal laws of the usa, in each instance without regard to conflict of laws principles.",0.0
"the term of this agreement shall commence on the effective date and, subject to the provisions of this agreement, shall continue in full force and effect for an initial period of five (5) years.",0.0
"each party will provide the other party with the right to inspect such records, and upon request will provide copies of all such records, to the extent reasonably required for the exercise or performance of such other partys rights or obligations under this agreement, provided that any information disclosed under this section 2.7 will be subject to the terms and conditions of section 5.",1.0
this agreement shall commence upon the effective date and continue for the agreement term.,0.0
master development and manufacturing agreement,0.0
"during the term of this agreement and for one year thereafter, verticalnet shall have the right to appoint a certified public accountant to audit impresses financial records relating to such payment to verify the accuracy of impresses financial records in order to verify the amount of the payments owed andor paid hereunder, but no more frequently than once per year.",1.0
"this amendment shall enter into force on the date of its signature by both parties and, unless otherwise agreed upon in writing by the parties through a subsequent amendment to the gma, shall remain in force for the term of the referenced gma.",0.0
"without limiting the generality of the foregoing, biocept owns, and life technologies acknowledges biocepts ownership of, (i) the assay and the selector technology, and (ii) all intellectual property rights in the assay and the selector technology, and life technologies agrees that it shall not do or suffer to be done any act or thing or undertake any action anywhere that in any manner might infringe, or impair the validity, scope, or title of biocept in the assay, the selector technology or intellectual property rights owned by biocept.",2.0
"lmg grants tag a worldwide, nonexclusive, irrevocable, perpetual license to load, execute, access, employ, use, store, or display (use) the object code version of the lmg tools and documentation (the license) for the period specified in exhibit a in accordance with the terms and conditions of this agreement.",0.0
this agreement may be terminated by either party upon six (6) months written notice following a change of control of exact; provided that such notice is given within thirty (30) days of the consummation of such change of control.,2.0
"on reasonable notice, each party shall have the right to examine said books and records; provided that such examination will be made no more than twice in any given twelve month period, and shall be made during normal business hours.",1.0
"for a period of not less than two (2) years after the date of termination, each party shall maintain, and make available to the other party upon its request, for inspection and copying all books and records that pertain to performance of and compliance with obligations, warranties and representations under this agreement.",1.0
"in the event that, during the applicable minimum threshold periods (as defined below), microgenics does not receive the applicable minimum threshold revenue (as defined below) during a given calendar year, achaogen agrees to pay  microgenics for such region during such calendar year (on a prorated basis, as applicable).",1.0
"in the case of a claim relating to the power performance warranty for a one-year power performance warranty period, upon receipt of such notice and verification that such one-year power performance warranty is applicable, operator shall make a payment to owner in an amount to be calculated pursuant to section 2.6; provided that the cumulative aggregate amount of operators liability for all claims under this section 2.5(c) shall not exceed  of the aggregate purchase price of all bloom systems in the portfolio during the applicable period and the purchase price under the december 30 bill of sale (inclusive of any amounts paid or for which a pending claim has been made under the power performance warranty or the section 8.2(b) warranty, as applicable, under the mespa).",1.0
"on termination of the provision of the services by healthgate to the publishers for whatever reason, healthgate shall at the publishers option: (i) grant to the publishers a non-exclusive non-transferable licence to use the proprietary software for the purposes of using, developing, enhancing and maintaining the site and carrying out any or all of the activities previously carried out by healthgate or on its behalf under this agreement (ii) exercise best endeavours to grant to the publishers a non-exclusive non-transferable licence to use the third party software for the site when and to the extent requested by the publishers.",0.0
"except to the extent governed by the u.s. trademark act of 1946 (lanham act, 15 u.s.c. 1051 et seq.), this agreement, the other agreements referred herein, and the offer and the sale of the franchise shall be governed in all respects and aspects by the laws of the commonwealth of pennsylvania and expressly excluding the laws pertaining to the choice of law and conflict of laws.",0.0
"within  days after receipt of the licensed products andor their matching placebo hereunder, neurobo may, in its discretion, perform a quality control test (the product test) in accordance with the methods of the test on such licensed products andor their matching placebo for acceptance (the product test methods), which shall be separately agreed in writing by and between dong-a and neurobo and attached hereto as exhibit b, as may be amended by the parties agreement in writing from time to time.",1.0
"papa johns hereby grants to abg and celebrity, a royalty-free, perpetual, irrevocable, fully- paid, assignable, transferable, sublicensable right and license to utilize the materials, in their entirety or any portions thereof, in all media now known or hereafter developed, throughout the universe (individually and collectively, pj rights) as follows: (i) on or in connection the performance of the services hereunder; (ii) in connection with historical and archival purposes (e.g., documentary, commentary, corporate retrospective, historical files on websites of abg), so-called business-to-business uses and other non-commercial purposes; and (iii) for industry recognition purposes (e.g., award competition submissions); in each case, in all media now known or hereafter devised.",1.0
"unless earlier terminated as provided below, this ip agreement shall extend until the last date of expiration of the sram intellectual property rights licensed under this ip agreement.",0.0
"subject to section 3.2, a licensor party, on behalf of itself and the other members of the licensor group, and solely to the extent the licensor party or another member of the licensor group has the right to do so, hereby grants and agrees to grant to the applicable licensee party and the other members of the licensee group, subject to the field restriction of section 3.1.2, a royalty-free, nonexclusive, perpetual, irrevocable, fully paid-up, worldwide right and license, with the right to sublicense as provided in section 3.1.3, to exploit intellectual property rights that are owned by the licensor party or another member of the licensor group immediately following the assignments pursuant to article ii and meet one or more of the following descriptions with respect to the relevant licensee party: (a) the intellectual property rights are rights under licensed patents or other intellectual property rights that, in each case, as of the effective time, are either (a) used in connection with, or necessary for the ongoing conduct of, the current business of the licensee party or another member of the licensee group, or (b) contemplated to be used in the business of the licensee party, or another member of the licensee group, in the licensee group field; provided, however, that the license granted in this section 3.1.1(a) does not apply to the intellectual property rights received under or otherwise governed by an excluded agreement; andor (b) the intellectual property rights are embodied in an invention, or proposed invention, that is both (i) described in a patent or invention disclosure held by the licensor party or another member of the licensor group and (ii) conceived by at least one inventor who, at the time of conception, was employed by a member of the licensee group, a non-inclusive list of which inventions and proposed inventions are provided in schedule 3.1.1(b), provided, however, that the license granted in this section 3.1.1(b) does not apply to an invention conceived under or otherwise governed by an excluded agreement; andor (c) the intellectual property rights are subject to an assignment to the licensor party in section 2.1.1(b) concerning performer foreground-delivered ipr conceived or created in the course of services concerning which the licensor party or another member of the licensor group was the requester and the licensee party or another member of the licensee group was the performer; andor",1.0
"at no time during or after the term of this agreement shall either party challenge or assist others to challenge the other partys trademarks or the registration thereof or attempt to register any trademarks, marks or trade names confusingly similar to those of the other party.",2.0
"unless earlier terminated as provided herein, this agreement continues in effect for an initial term of seven (7) years (initial term) and will automatically renew for one or more annual periods after the initial term (each a renewal term) unless either party gives notice of non-renewal at least one hundred eighty (180) days prior to the beginning of any renewal term.",0.0
"subject to mcdatas prior written approval, mcdata grants reseller a limited, nonexclusive, non-transferable, revocable license to use mcdatas trademarks (defined as mcdatas name or any abbreviation thereof, its acronym, logotype or any other trademarks or trade names of mcdata) for the sole purpose of marketing and selling products and end user customer services in the territory during the term of this agreement reseller agrees to comply with mcdatas logo usage guide, which is found at mcdatas web site, www.mcdata.com.",0.0
"except with regard to a breach of confidentiality, a partys indemnification obligations hereunder, or infringement of intellectual property rights, either partys total liability to the other party under this agreement shall be limited to the amounts paid or payable by the reseller to todos during the twelve-month period preceding the interposition of the claim.",2.0
"the remaining parties to this agreement shall assume the obligations, capital, operation, and maintenance interests of the party terminating its participation in proportion to their interests assigned immediately preceding such effective date of termination, except for the continuing rights and obligations of the terminating party as specified in subparagraph 18.7 of this agreement.",1.0
this agreement may not be assigned by the professional under any circumstances.,0.0
"the use fees shall remain the same as in the initial period and the fee for the services shall not exceed 7000 for additional journals, 2000 maintenance fee on existing journals and 2000 per gigabyte.",1.0
"upon termination of the contract, the agreement set forth in clause 5 (intellectual property rights and prohibition of transfer to third parties) and clause 6 (economic rights) will remain into force.",1.0
